Country,Year,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,Code,AnnualMeanTemp,gdp_nominal,gdp_per_capita_nominal
Argentina,2019,0,430,110,1214,2752,562,232,36,5336,4,243,ARG,15.19,446.762,9941.59
Argentina,2020,128,132,141,212,144,263,62,4,1086,24,9,ARG,15.52,385.218,8489.332
Armenia,2020,0,0,0,0,8,0,0,0,8,2,6,ARM,8.41,12.642,4268.681
Australia,2019,0,0,0,0,6,0,0,0,6,1,5,AUS,22.78,1388.092,54391.307
Australia,2020,4,33,222,898,141,361,3,6,1668,9,190,AUS,22.56,1364.828,53249.731
Bangladesh,2019,0,0,0,32,0,0,0,0,32,1,100,BGD,25.62,351.238,2154.227
Bangladesh,2020,0,376,2,1559,299,89,58,0,2383,1,127,BGD,25.39,373.902,2270.348
Benin,2019,0,0,0,0,9976,0,0,0,9976,1,2328,BEN,28.17,14.392,1171.015
Benin,2020,0,0,0,0,342,0,0,0,342,2,458,BEN,28.43,15.674,1239.74
Bhutan,2019,0,0,0,0,7000,0,0,0,7000,1,5300,BTN,10.51,2.618,3547.477
Brazil,2019,0,70,0,7164,440,1774,20,0,9468,3,419,BRA,25.94,1873.286,9010.512
Brazil,2020,0,114,572,376,417,548,208,22,2257,4,78,BRA,25.93,1476.092,7057.072
Bulgaria,2019,0,0,0,0,16,0,0,0,16,1,15,BGR,12.81,68.889,9909.937
Bulgaria,2020,8,11,34,125,74,199,15,14,480,7,50,BGR,12.49,70.311,10165.58
Cameroon,2019,0,1190,6850,2018,6526,568,20,18,17190,10,387,CMR,24.87,39.673,1533.161
Canada,2019,0,0,0,2,0,0,0,0,2,1,9,CAN,-4.33,1743.725,46430.975
Canada,2020,0,117,611,440,283,277,159,0,1887,3,13,CAN,-4.25,1655.685,43573.195
Chile,2020,0,211,226,700,456,383,43,14,2033,3,13,CHL,9.87,254.06,13056.638
Colombia,2019,0,0,0,1712,0,0,0,0,1712,1,5253,COL,25.42,323.055,6540.141
